time,q0,q1,q2,q3,pd_error_deg,ai_error_deg,tau_pd,tau_ai
0.0,0.8779686814806096,0.2666369153060734,-0.3556732896303648,0.17768584856081437,20.246215021858877,57.20342166016703,0.25943814757755224,2.0207756e-06
0.02,0.8790776810527212,0.26592035412619,-0.3540034199338436,0.17660796870898746,22.29762703340996,56.93739196952582,0.21619515221009086,2.1322364e-06
0.04,0.8806774185298017,0.26528349022726583,-0.35110323008033456,0.17538094574861926,22.990745490030783,56.551623445147534,0.1566117968712913,1.912767e-06
0.06,0.882731414466739,0.2644158655066978,-0.34711193480994545,0.17430663984596337,23.254288687114713,56.05274334905155,0.15247995870382092,1.9041508e-06
0.08,0.8851683825323551,0.26348563844484685,-0.34199401742408525,0.17347145282293666,23.328262182383448,55.455500729994654,0.1514879219996294,1.8848312e-06
0.1,0.8879631027151316,0.2625496746424433,-0.33572348144086217,0.17285525902005752,23.259706731428317,54.763206344779995,0.15594210874006795,1.8516797e-06
0.12,0.8910723205682274,0.2617402147748496,-0.3282518320142718,0.17243234692494322,23.07069350514866,53.98338999962224,0.1584352995584387,1.8044833e-06
0.14,0.894467910052321,0.26112244666796713,-0.31954223221990785,0.17214815584456977,22.772948220222588,53.11966777731094,0.1636408703646124,1.674755e-06
0.16,0.898102391766397,0.2607050225971876,-0.30965418148935464,0.1719281041081859,22.387620071970176,52.180509188694,0.1416942440783647,1.551117e-06
0.18,0.9016987052410829,0.2606072363251484,-0.29935216974617124,0.1714980810673473,21.941320387064017,51.23547865903464,0.09526898096945766,1.7080149e-06
0.2,0.9050581915948555,0.26090506328587354,-0.2892478749164415,0.17068650982185746,21.473518328379964,50.33775674254136,0.0646497292399795,1.6567657e-06
0.22,0.9082121056553472,0.26150686079619173,-0.2793195878997726,0.1695449813857754,20.99064109943856,49.48112926489805,0.06785218212242038,1.6463201e-06
0.24,0.9111613754018608,0.262373472040764,-0.2696115103132811,0.16809147108540387,20.50912038232955,48.66731677687463,0.058889623439787715,1.65784e-06
0.26,0.9139234518982196,0.2634543316354819,-0.26012781287993353,0.16634079529462006,20.033013343372293,47.89339475870533,0.058054716679840836,1.6716192e-06
0.28,0.9165071822866306,0.26469743604612667,-0.25087980703739593,0.1643446822641562,19.564425028344374,47.1586363324047,0.044520277139665526,1.6686148e-06
0.3,0.9189216640878529,0.26606202320834527,-0.24187401884774262,0.1621447935727048,19.089663305686134,46.46211549816173,0.046585963439594404,1.6646358e-06
0.32,0.9211710959257929,0.2675341653325187,-0.23312992658820947,0.15974892719415099,18.60854191227466,45.80421380534055,0.04539117306536236,1.6531812e-06
0.34,0.9232684426172079,0.26908763790471285,-0.2246525336210619,0.15715745331257933,18.141508586416993,45.1826347976135,0.04479441102498754,1.642261e-06
0.36,0.9252198275835861,0.2707151087463724,-0.2164293807493809,0.1544018254136866,17.68386773810403,44.59694703502618,0.038040001305884696,1.6129551e-06
0.38,0.9270315177409751,0.2723925879972169,-0.2084586098616957,0.1515250840408009,17.230788988108227,44.046576165154654,0.03696785637169228,1.6017589e-06
0.4,0.9287175833155948,0.27409943494761835,-0.20073412163906149,0.14852259966628611,16.799997420077496,43.52843191848327,0.035350472950956884,1.5719108e-06
0.42,0.9302838286589474,0.2758351923560453,-0.1932430543034306,0.14540999538214439,16.36769999968764,43.0417960563392,0.0322241785818097,1.5408011e-06
0.44,0.9317303726164535,0.27759589183615685,-0.1859949612802848,0.1422143029306078,15.925253650138403,42.58764956635936,0.03501275489916035,1.512567e-06
0.46,0.9330669704945641,0.2793675728979967,-0.17898757601589088,0.13893608392759133,15.494817902400417,42.16387722928815,0.030859602248238013,1.50148e-06
0.48,0.9343001697700964,0.2811493843758202,-0.1722085139623031,0.13558187250352308,15.07816187783063,41.769249855005405,0.03131089796586041,1.4634651e-06
0.5,0.9354286700221338,0.28294807049479676,-0.16565563347950055,0.13218095097402943,14.673539080473217,41.40497947090918,0.029132495595193,1.4365405e-06
0.52,0.9364553287136153,0.2847684946313498,-0.15931657262189872,0.12874995719331786,14.2648830718562,41.07090040034512,0.027838010713210022,1.4039417e-06
0.54,0.9373879273853123,0.286597464622117,-0.15319820419093472,0.12528398579673114,13.867507547205829,40.76515913127842,0.03039818070640644,1.400025e-06
0.56,0.9382387126991152,0.2884134278807227,-0.147295872542574,0.1217774139268868,13.475735650030783,40.48431170571643,0.02572569771284221,1.3716802e-06
0.58,0.9390094036630771,0.2902273661849661,-0.14160231963984213,0.11822943297785952,13.092049701638736,40.22828273612519,0.028492925667417686,1.3515481e-06
0.6,0.9397009240856145,0.29204443747814246,-0.13610460365197163,0.11466366763477283,12.729958217245168,39.99721794224165,0.02285035190268204,1.3166618e-06
0.62,0.9403077926669641,0.2938885959844147,-0.1307802006669044,0.11111834823113335,12.369926570226175,39.79337886748466,0.025011524959815477,1.2842355e-06
0.64,0.9408362156266601,0.29574806600467785,-0.12563813499011742,0.1075888277471343,12.02037799119375,39.61506918100269,0.02457350917218649,1.2916944e-06
0.66,0.941299687129009,0.29759656974044135,-0.12067924410171295,0.10405623831655424,11.677807799799249,39.458040006308465,0.022744596879311584,1.2725181e-06
0.68,0.9416981913532738,0.29944847126806445,-0.11589073939305061,0.10052097283713486,11.337495765917302,39.3225411199278,0.021311085904285265,1.2532223e-06
0.7000000000000001,0.9420367178878859,0.301297895145895,-0.11126783001023728,0.09698386740322233,11.009026300857712,39.207082507505994,0.021368069222789332,1.244616e-06
0.72,0.9423143064000143,0.303155536710413,-0.10680778957889002,0.09344819206893783,10.682828943523456,39.11216325936781,0.021042380658849884,1.2208633e-06
0.74,0.942533454643296,0.30501928910405973,-0.10250445481961985,0.08992639709651738,10.368573769113778,39.037070577539524,0.020534291088047257,1.213711e-06
0.76,0.9426955146711683,0.3068930469738438,-0.09835055702461298,0.08642333175086292,10.063824090714034,38.98145016712069,0.01963388592204265,1.1912044e-06
0.78,0.9427980495797924,0.3087923872179637,-0.09433916735857333,0.08294106827659013,9.769194243643232,38.946219864806174,0.019017409625314105,1.1733268e-06
0.8,0.9428461870015395,0.31070572112810674,-0.09047201549321886,0.07948482199461647,9.473562072391951,38.92966960130555,0.019917352964424245,1.1576262e-06
0.8200000000000001,0.9428406419922987,0.31263570779742006,-0.08674769252131569,0.0760610009123194,9.180590816015169,38.93157639130026,0.01939510654587905,1.1376397e-06
0.84,0.9427814401897001,0.31458937448464763,-0.08315321106387583,0.07267891705962387,8.914572142124682,38.951928817850444,0.018096992807203137,1.1225111e-06
0.86,0.9426717643904877,0.3165630690625334,-0.07969654883100816,0.06932696467508966,8.628988338781445,38.98960623877922,0.019976284467871266,1.1258713e-06
0.88,0.9425174577398,0.318546141542056,-0.07637211784198497,0.06600376641300719,8.365317338448852,39.04255672438668,0.01615694216718958,1.1142779e-06
