time,pd_error,lqr_error,hybrid_error,pd_tau,lqr_tau,hybrid_tau
0.0,14.26789200663268,14.166170379022953,14.166292925420777,0.2275580161275578,0.4330127018922193,0.432759587305098
0.02,14.07449836440399,13.838273016033884,13.83875175230323,0.15492609317654432,0.4330127018922193,0.4328205651242209
0.04,13.841415945869551,13.511387623736406,13.512332978193617,0.027688702680646465,0.4330127018922193,0.43300247423227173
0.06,13.61276228950377,13.185589265362381,13.187105220654406,0.013443807232703003,0.4330127018922193,0.4328257334764486
0.08,13.389870053464717,12.860965820518098,12.863151176021411,0.005812980341132817,0.4330127018922193,0.43301015020121997
0.1,13.167310638015799,12.537609906439334,12.537970188906288,0.00832922922933454,0.4330127018922193,0.4230349199728211
0.12,12.94914434375148,12.215626123689848,12.211587905531117,0.010300540597133307,0.4330127018922193,0.4330031882644377
0.14,12.735861673232318,11.880205227287782,11.886689423075913,0.0006970673120737024,0.3848563773807789,0.43283854602640703
0.16,12.527035487599074,11.531249553686768,11.563370497049052,0.010386238548586028,0.4330127018922193,0.43300778264449735
0.18,12.324839392525059,11.183883262027662,11.241777400465958,0.00675547004335401,0.4330127018922193,0.4328436235892239
0.2,12.131412784292026,10.838149381145705,10.922030228325301,0.011203346174873018,0.4330127018922193,0.43301060508997746
0.22,11.947016356974174,10.494333093331013,10.604309402256582,0.011822879243905437,0.4330127018922193,0.43284894518520806
0.24,11.76862142900768,10.152506502510365,10.288766775870178,0.004065694939145364,0.4330127018922193,0.4330120093365782
0.26,11.597080323862668,9.816701426384032,9.998554358285864,0.010425174153233642,0.42594734483847096,0.39299796843450846
0.28,11.431985867770324,9.486845798601372,9.732757901832501,0.005919556469707373,0.4330127018922193,0.43300244476732197
0.3,11.272639095108111,9.19699332306958,9.468185100716825,0.008579612945584654,0.3732136430666161,0.4328823376849239
0.32,11.119101077795529,8.966027293166546,9.218256988250797,0.004432252223564989,0.4052800680685737,0.41355763869087275
0.34,10.970596954617696,8.757144070201257,8.983649014810737,0.005541809450264931,0.4330127018922193,0.43287917525423913
0.36,10.82679327486244,8.550339349309649,8.751277662086034,0.005055166529090522,0.4330127018922193,0.43300326784045745
0.38,10.686640873887097,8.345991485537997,8.521407761720615,0.00458507379661664,0.4330127018922193,0.4328846474456028
0.4,10.5508747480455,8.14406099543181,8.294147488291458,0.006006205007757986,0.4330127018922193,0.43300364141737074
0.42,10.418335526706835,7.94497129229851,8.073522450139142,0.0018694506076774352,0.4330127018922193,0.4245127023523573
0.44,10.288755914607426,7.748701432594597,7.859358155687448,0.004144889700746494,0.4330127018922193,0.43300109155355115
0.46,10.162920444025433,7.555726690604986,7.648151708296418,0.00383814274822425,0.4330127018922193,0.4329007431457192
0.48,10.039701934429134,7.366049456075033,7.440045784050411,0.004923732277966337,0.4330127018922193,0.4330013283439801
0.5,9.921654303541503,7.180204244762132,7.272177903862198,0.006708511216567629,0.4330127018922193,0.3634045269936828
0.52,9.808321497688526,6.998221880319787,7.142202067767267,0.0048803725604443056,0.4330127018922193,0.43297855766522847
0.54,9.698147695885027,6.820703628653149,7.012585360810297,0.004680762555364045,0.4330127018922193,0.4329742390508509
0.56,9.592516262553245,6.64771358855867,6.8832954777852375,0.00403945609258721,0.4330127018922193,0.43298060727780785
0.58,9.490761502474662,6.47992653634719,6.754404265106816,0.006365891444207713,0.4330127018922193,0.4329780282226726
0.6,9.392912621835679,6.317443379257921,6.6258789784498555,0.004405385377770638,0.4330127018922193,0.43298091329069
0.62,9.299265649176668,6.17446180184067,6.4977992765716746,0.0058553910664512964,0.3969933049373995,0.43298060770622354
0.64,9.208722549190746,6.053600492054547,6.37013185295827,0.005702843723646753,0.4034936078392713,0.43298071372651814
0.66,9.120105026859797,5.940260592888027,6.242964491735203,0.002260816267511954,0.4330127018922193,0.4329836162465172
0.68,9.033981342201725,5.829889472141068,6.116263144112814,0.004455053512534787,0.4330127018922193,0.43298197606168065
0.7000000000000001,8.951393708406126,5.722901882427672,5.990125290017906,0.0033125429690627887,0.4330127018922193,0.43298585805599726
0.72,8.872246843375661,5.61924913033716,5.881563529989342,0.0032653468432324363,0.4330127018922193,0.41270087346826384
0.74,8.79645598131212,5.5193741739583695,5.791186482766586,0.004431615539207565,0.4330127018922193,0.4329788357192191
0.76,8.722681082627455,5.423231852523455,5.702030984525089,0.00046700176208916416,0.4330127018922193,0.43298033373669986
0.78,8.651121180029932,5.331291406074677,5.614289984470022,0.0036303042777486682,0.4330127018922193,0.4329817139160162
0.8,8.582383897659444,5.243508009683365,5.527892663416158,0.0019935750414903667,0.4330127018922193,0.4329805262043649
0.8200000000000001,8.516616930292232,5.160373287707483,5.443043723170436,0.004535423545253323,0.4330127018922193,0.43298429968083585
0.84,8.453861774707423,5.08183770837344,5.359672752369063,0.002307346881826863,0.4330127018922193,0.43298106855593055
0.86,8.394190110699796,5.0084089919969905,5.277996267541662,0.00357535015084798,0.4330127018922193,0.43298792784453494
0.88,8.336707604830986,4.9399709541443215,5.197944330212486,0.00315844690825797,0.4264256866191433,0.43298182187103423
0.9,8.281150881592813,4.879173786458588,5.119746338231379,0.003114131354381578,0.4139441154498077,0.43299022034427026
0.92,8.227134707239038,4.824851951968358,5.043332667422155,0.003516352427411689,0.4330127018922193,0.43298269497195335
0.9400000000000001,8.17553743454064,4.774618993064815,4.968944802385051,0.004252844874482404,0.4330127018922193,0.43299423077138915
0.96,8.126221942613611,4.727767275478921,4.89651308521223,0.003978970274389994,0.4237094604236755,0.4329838680724537
0.98,8.079045399728722,4.6842731175751675,4.826291467709896,0.0040412865612491035,0.4330127018922193,0.4329980733076702
1.0,8.03465447849301,4.6444512368649855,4.758209631828677,0.004565358596744958,0.4330127018922193,0.4329852968753329
1.02,7.993439811703621,4.608652163123157,4.692533642379647,0.004776137096410626,0.4330127018922193,0.43300060001615576
1.04,7.954313932855754,4.5767187647880085,4.629191543070304,0.0040107172639575524,0.4330127018922193,0.43298656783938083
1.06,7.916944459049908,4.548993770684124,4.568459980265198,0.004284979255676039,0.4330127018922193,0.43300334375988897
1.08,7.881553892195692,4.5508657960603776,4.510263963351972,0.0028371695531461357,0.37808969020311956,0.4329871975194152
1.1,7.848321387992191,4.580833311259538,4.454889058601247,0.006598593396078409,0.4205788980922289,0.4330059659144533
1.12,7.818731319718158,4.612115660381143,4.4022551767418765,0.0023793892137292075,0.4330127018922193,0.43298804354380116
1.1400000000000001,7.7893665053101095,4.6452482994184345,4.352654341456459,0.00305970723851475,0.4330127018922193,0.43300905169720405
1.16,7.761329388812008,4.680026031907651,4.30599896273727,0.003712562576201605,0.4330127018922193,0.43298924570591096
1.18,7.735874789431636,4.716581257533541,4.262584635497854,0.001757978866363594,0.4330127018922193,0.4330118330793441
1.2,7.711515312451977,4.75470930198502,4.222313425150517,0.0032458690352568154,0.4330127018922193,0.43299047755223263
1.22,7.688482281106859,4.794539071968378,4.185480969919175,0.0017211686104700071,0.4330127018922193,0.4330127018922193
1.24,7.6668048141098835,4.8358672108752225,4.151975706629255,0.0026798108811702387,0.4330127018922193,0.43299183586190365
1.26,7.646019187611524,4.877371578600297,4.122088969362545,0.0009041371813876177,0.4233972666837773,0.4330127018922193
1.28,7.626882281824186,4.918559734516046,4.095692220196639,0.0028890434639557475,0.4330127018922193,0.4329928427709256
1.3,7.609475313920081,4.960886839414147,4.073068074524562,0.0035158778766380626,0.4330127018922193,0.4330127018922193
1.32,7.59357717716091,5.00419286479001,4.054067886619441,0.004565222330178619,0.4330127018922193,0.43299387785678534
1.34,7.578685925214966,5.048585874770853,4.038961424377512,0.0012665995207646785,0.4330127018922193,0.4330127018922193
1.36,7.566142745998937,5.093908347734643,4.028696415935647,0.003664708316793474,0.4330127018922193,0.4318626679572548
1.3800000000000001,7.554951678652172,5.140266861960076,4.02351305497393,0.002714849347658904,0.4330127018922193,0.4330127018922193
1.4000000000000001,7.543803705376149,5.18750658733026,4.0213493510766956,0.0016120487096911017,0.4330127018922193,0.4257375875134909
1.42,7.535593021879719,5.235513552783822,4.022119864368097,0.003733701156391233,0.43199845314024715,0.4330127018922193
1.44,7.528404938673641,5.284114164379662,4.0552579985751915,0.0022801341644283564,0.4330127018922193,0.4052210365301554
1.46,7.5225471486530155,5.329972464320027,4.1203825769964295,0.004125096750608795,0.41772887840448203,0.4330127018922193
1.48,7.519043450192546,5.372707245613863,4.18739091653465,0.0004572376881223127,0.4330127018922193,0.42878721964343547
1.5,7.515353737053456,5.415950995010303,4.256216555226343,0.0021288254153242624,0.4330127018922193,0.4330127018922193
1.52,7.512014349559527,5.456196454818582,4.32714896914765,0.0008159015178029986,0.4194601721296536,0.4330097129496074
1.54,7.510437891990017,5.49336323097932,4.3954137669840305,0.0027332649921809047,0.4330127018922193,0.4064843436130037
1.56,7.509665877340778,5.53074804203111,4.456847983184476,0.0030295517523929345,0.4330127018922193,0.41563730090576095
1.58,7.509950344137387,5.568413402488375,4.5157205603318475,0.002650408348721306,0.4330127018922193,0.4330127018922193
1.6,7.509790101316883,5.606288726022783,4.575021408316709,0.0038455597972220186,0.4330127018922193,0.4330127018922193
1.62,7.509895607455452,5.644435936093138,4.63480431387623,0.0034913575634029186,0.4330127018922193,0.4330127018922193
1.6400000000000001,7.512293557175442,5.682785357187654,4.694983502524719,0.0015335849409185338,0.4330127018922193,0.4330127018922193
1.6600000000000001,7.51485612591039,5.7213983289506505,4.755612163453929,0.0019096080220275579,0.4330127018922193,0.4330127018922193
1.68,7.519106541991745,5.76020607137143,4.816607871580966,0.0029124936853958854,0.4330127018922193,0.4330127018922193
