scenario,controller,run,rms_deg,max_deg,avg_torque
nominal_noise_nominal_disturb,PD,0,48.54713030094776,79.8825991608225,0.004497335191770302
nominal_noise_nominal_disturb,AI,0,23.640108701367932,40.26966037340413,0.004431065652631306
nominal_noise_nominal_disturb,PD,1,22.47955434317554,41.84929994720583,0.004498808514291978
nominal_noise_nominal_disturb,AI,1,7.320941100669004,14.021162318297751,0.004482614467378869
nominal_noise_nominal_disturb,PD,2,5.781807679673163,10.640647064811603,0.004766953776484557
nominal_noise_nominal_disturb,AI,2,31.639651721429182,47.4394564895233,0.004250762425226633
nominal_noise_nominal_disturb,PD,3,35.35166901177843,51.70065988781145,0.004165266610651635
nominal_noise_nominal_disturb,AI,3,52.25995516508363,79.47738166788265,0.004451847221303353
nominal_noise_nominal_disturb,PD,4,5.25155193245439,10.978356536005661,0.0044679354801518
nominal_noise_nominal_disturb,AI,4,46.96123742853142,69.0225694906901,0.004423050377713368
nominal_noise_nominal_disturb,PD,5,6.223228190537865,9.660044820354402,0.004365829548427374
nominal_noise_nominal_disturb,AI,5,26.956516968229842,41.65804360898666,0.004346053882893972
nominal_noise_nominal_disturb,PD,6,36.73556297402416,58.60810463232127,0.004293098485422473
nominal_noise_nominal_disturb,AI,6,38.9714416474439,56.44730787875212,0.004462547300658473
nominal_noise_nominal_disturb,PD,7,33.34500806226169,50.20963866770494,0.004377711665313856
nominal_noise_nominal_disturb,AI,7,46.17638075632839,74.15478416315224,0.004360605724522361
nominal_noise_nominal_disturb,PD,8,12.915471025500866,22.483506477962802,0.004464844679551456
nominal_noise_nominal_disturb,AI,8,10.175066680820946,21.411557973734617,0.0043978143764928194
nominal_noise_nominal_disturb,PD,9,43.89271249211485,63.6046491552665,0.004131314700409585
nominal_noise_nominal_disturb,AI,9,17.021363242860435,32.8012166222029,0.004352435306321898
nominal_noise_nominal_disturb,PD,10,35.27101159997254,52.65422984280972,0.004225954308702674
nominal_noise_nominal_disturb,AI,10,4.479152931335412,16.86279705692306,0.0043994536523733856
nominal_noise_nominal_disturb,PD,11,44.83102595175593,69.05417721630366,0.0042806876253636645
nominal_noise_nominal_disturb,AI,11,3.2243527209324463,19.577650276392163,0.004216866671010606
nominal_noise_nominal_disturb,PD,12,23.777582007537497,30.553237699786443,0.004311593586948311
nominal_noise_nominal_disturb,AI,12,20.8629484835137,35.54555463768591,0.004274320058669667
nominal_noise_nominal_disturb,PD,13,22.086330909565092,34.73194893266842,0.004412792563457534
nominal_noise_nominal_disturb,AI,13,21.249106944764776,42.14330411477451,0.00439256517240872
nominal_noise_nominal_disturb,PD,14,37.851746046357746,55.66753206967265,0.004189206432595005
nominal_noise_nominal_disturb,AI,14,25.560552113658353,40.601930649195666,0.004166320937140477
nominal_noise_nominal_disturb,PD,15,38.39239955007567,56.110063711347266,0.004313504959883872
nominal_noise_nominal_disturb,AI,15,14.526078161707334,27.283897083064026,0.003996285605018143
nominal_noise_nominal_disturb,PD,16,29.511587934947958,44.51635739371424,0.004324620507349481
nominal_noise_nominal_disturb,AI,16,14.166221558223636,17.908927258370138,0.004234010526606965
nominal_noise_nominal_disturb,PD,17,17.50316820516776,23.071704204171994,0.004514325361568359
nominal_noise_nominal_disturb,AI,17,14.648695118548247,21.29007272024327,0.004472771650758924
nominal_noise_nominal_disturb,PD,18,7.571293099193012,14.099915565789393,0.004306472550645813
nominal_noise_nominal_disturb,AI,18,13.910881632866191,24.822548532366994,0.004281424125938646
nominal_noise_nominal_disturb,PD,19,11.422710197665614,15.329966921501194,0.004474013558794641
nominal_noise_nominal_disturb,AI,19,16.65768031414597,32.78376404135516,0.004337431791500757
high_noise_nominal_disturb,PD,0,56.125300401935704,95.78792252234761,0.007851307000713103
high_noise_nominal_disturb,AI,0,39.30994455430285,69.72648607019802,0.007750542686025453
high_noise_nominal_disturb,PD,1,48.50340702564197,88.60700973817825,0.007755425874334229
high_noise_nominal_disturb,AI,1,5.940438034181568,14.021373049307648,0.00786944590912376
high_noise_nominal_disturb,PD,2,6.8063601986899345,12.249100268125312,0.008312424733316722
high_noise_nominal_disturb,AI,2,38.96669258909678,60.38432244419123,0.007515693402863652
high_noise_nominal_disturb,PD,3,30.530545446318044,41.37238045481886,0.0073882936357840675
high_noise_nominal_disturb,AI,3,66.2722949695265,101.27135533459384,0.007993051803608785
high_noise_nominal_disturb,PD,4,6.1089974109000735,10.97870765995186,0.00785361498720901
high_noise_nominal_disturb,AI,4,60.77470754909684,91.43885099000588,0.007841409531909035
high_noise_nominal_disturb,PD,5,8.702400098999105,14.614255326881489,0.00761362900984998
high_noise_nominal_disturb,AI,5,22.623863388339103,37.14917698181892,0.007606444471953955
high_noise_nominal_disturb,PD,6,39.53311030379948,64.99282762709404,0.007524321298862308
high_noise_nominal_disturb,AI,6,33.66124836731143,45.031758838757405,0.007897161381650045
high_noise_nominal_disturb,PD,7,37.122566349818484,58.68782097056147,0.007693079677608953
high_noise_nominal_disturb,AI,7,49.15270844183428,82.11795541505968,0.007693358639415324
high_noise_nominal_disturb,PD,8,17.63987775605248,33.064597172656605,0.007835448235241411
high_noise_nominal_disturb,AI,8,7.627802298058897,21.411628348728346,0.007725555100475282
high_noise_nominal_disturb,PD,9,49.74522064188243,72.55089485019565,0.007287195495766497
high_noise_nominal_disturb,AI,9,28.41719740796732,55.74161638904822,0.007775921784910768
high_noise_nominal_disturb,PD,10,36.37702714323738,54.574499515190354,0.007432346844991136
high_noise_nominal_disturb,AI,10,3.764656962794473,16.86280109660381,0.007684512819253151
high_noise_nominal_disturb,PD,11,61.357744981733994,95.60476372257975,0.007644861066407016
high_noise_nominal_disturb,AI,11,5.12863956616486,19.577662644627345,0.007583837713935599
high_noise_nominal_disturb,PD,12,22.44763303520044,29.652758547658802,0.00766202174338355
high_noise_nominal_disturb,AI,12,29.32309697437072,52.079944979383384,0.007508949436759933
high_noise_nominal_disturb,PD,13,29.131595237537397,48.84815290929201,0.007703593054522356
high_noise_nominal_disturb,AI,13,26.1527238622516,54.541388897327096,0.007665928972408403
high_noise_nominal_disturb,PD,14,47.03871533631514,72.07949215713981,0.007467547095688869
high_noise_nominal_disturb,AI,14,29.978157969367537,50.302902620131626,0.007413999688369391
high_noise_nominal_disturb,PD,15,38.77299551262473,57.97719131803783,0.007487909771901128
high_noise_nominal_disturb,AI,15,15.235091197232471,27.28380626514652,0.007157519367026044
high_noise_nominal_disturb,PD,16,33.154529835439874,51.436946251333616,0.007599483742690067
high_noise_nominal_disturb,AI,16,25.153637663758232,32.756144525625494,0.007418821715556905
high_noise_nominal_disturb,PD,17,18.6932594450907,24.762280391405717,0.007990393412823904
high_noise_nominal_disturb,AI,17,26.086446290244293,42.16195784696619,0.007871349246647995
high_noise_nominal_disturb,PD,18,23.582974991726534,37.018252854371546,0.007609553615415706
high_noise_nominal_disturb,AI,18,20.25650495416195,32.1016473701583,0.007586809737635292
high_noise_nominal_disturb,PD,19,8.828348304413016,13.849552582333493,0.00784731320929473
high_noise_nominal_disturb,AI,19,30.358562461977062,60.186766358221874,0.007556449076122259
nominal_noise_high_disturb,PD,0,47.96839721548206,78.7381696900292,0.00451361342696394
nominal_noise_high_disturb,AI,0,23.390339697660295,39.75989821606498,0.0044309849653776335
nominal_noise_high_disturb,PD,1,21.767925684952186,40.50295631919669,0.004501467716836108
nominal_noise_high_disturb,AI,1,7.146265167527427,14.021162318297751,0.004490044116291212
nominal_noise_high_disturb,PD,2,6.042890495925244,11.099940125573962,0.004759576331366516
nominal_noise_high_disturb,AI,2,31.10337597218214,46.43744346868659,0.00425744262892953
nominal_noise_high_disturb,PD,3,34.89579859592793,50.855429950302074,0.004186071633550828
nominal_noise_high_disturb,AI,3,51.363793472865424,77.8317927730078,0.0044604887449474365
nominal_noise_high_disturb,PD,4,5.100012721091357,10.978356536005661,0.004477382718731135
nominal_noise_high_disturb,AI,4,46.67858590707758,68.52394736786586,0.004436398506059651
nominal_noise_high_disturb,PD,5,6.28302334109062,9.660044820354402,0.004364460718612291
nominal_noise_high_disturb,AI,5,26.557345090606645,40.87847728210143,0.004359512257801173
nominal_noise_high_disturb,PD,6,36.4268530698825,58.012163197595285,0.004305868842421212
nominal_noise_high_disturb,AI,6,38.36240188033921,55.278392992087944,0.004460885879343402
nominal_noise_high_disturb,PD,7,32.86544786311477,49.30885645679039,0.004396354183488565
nominal_noise_high_disturb,AI,7,45.70559454654028,73.2774311559903,0.004380216581755199
nominal_noise_high_disturb,PD,8,12.692633324644905,21.990274265931205,0.00446783709267962
nominal_noise_high_disturb,AI,8,9.904907052446308,21.411557973734617,0.0044209576109330165
nominal_noise_high_disturb,PD,9,43.23051943406867,62.37985080662404,0.004144342577824091
nominal_noise_high_disturb,AI,9,16.642494206898252,32.04888857725092,0.004356659107243991
nominal_noise_high_disturb,PD,10,35.248244961503914,52.61267986832557,0.004240993225744625
nominal_noise_high_disturb,AI,10,4.4131451415556295,16.86279705692306,0.0043952784692386435
nominal_noise_high_disturb,PD,11,44.48998384822358,68.43342321355662,0.004299423709109842
nominal_noise_high_disturb,AI,11,3.2025139775610123,19.577650276392163,0.004224644523995188
nominal_noise_high_disturb,PD,12,23.666362683725193,30.37542734314032,0.004324812182808304
nominal_noise_high_disturb,AI,12,20.43906751309322,34.726657646331944,0.004290531699568144
nominal_noise_high_disturb,PD,13,22.17278713724518,34.8728331062285,0.004407646639458337
nominal_noise_high_disturb,AI,13,21.14321338624924,41.853415804022134,0.0043987534809626595
nominal_noise_high_disturb,PD,14,37.4023604131175,54.879730286872935,0.004205325082693424
nominal_noise_high_disturb,AI,14,25.435623303144396,40.362081806091425,0.0041760159819009554
nominal_noise_high_disturb,PD,15,37.85268787132172,55.169626788702985,0.004321692521133657
nominal_noise_high_disturb,AI,15,14.527831455621294,27.283897083064026,0.004022273766673431
nominal_noise_high_disturb,PD,16,29.308273110627667,44.12697429408092,0.004336784601674242
nominal_noise_high_disturb,AI,16,13.60070559613369,17.070428278071446,0.004240900682345328
nominal_noise_high_disturb,PD,17,17.24859469464705,22.369288185591184,0.0045037801826647685
nominal_noise_high_disturb,AI,17,14.273438123701357,20.69276605231395,0.004470999527139188
nominal_noise_high_disturb,PD,18,7.786486663316885,14.099915565789393,0.004306598646639889
nominal_noise_high_disturb,AI,18,13.640899934586194,24.822548532366994,0.004292292290966067
nominal_noise_high_disturb,PD,19,10.995849999603715,14.358934237668281,0.004479161699498705
nominal_noise_high_disturb,AI,19,16.458242796391527,32.37689551942085,0.0043587015329370525
high_noise_high_disturb,PD,0,55.895214966457644,95.42548916743252,0.007875741810592014
high_noise_high_disturb,AI,0,39.15168211298536,69.41103551330126,0.007751800063790981
high_noise_high_disturb,PD,1,47.67699608467968,87.30303967303097,0.007765940020707906
